timestamp,device_id,scenario,true_soil_moisture_pct,soil_adc,soil_moisture_pct,soil_dryness_pct,soil_status,temperature_c,humidity_pct,rainfall_mm,forecast_rain_mm,et0_mm_day,surface_wetness_pct,is_raining,crop_profile,kc_factor,mad_threshold_pct,reservoir_level_pct,reservoir_status,pump_active,irrigation_litres,hour,day_of_year,hour_sin,hour_cos,soil_moisture_lag_1h,soil_moisture_lag_3h,soil_moisture_lag_6h,moisture_change_1h,moisture_change_3h,rolling_temperature_3h,rolling_et0_3h,rolling_rain_6h,irrigation_last_6h,soil_moisture_t_plus_3h
2026-01-01 06:00:00,esp32-field-01,NORMAL_BALANCED,32.96,2285,32.38,67.62,HEALTHY,22.92,71.7,0.0,0.49,3.33,1.3,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0,6,1,1.0,6.123233995736766e-17,33.14,32.5,34.21,-0.759999999999998,-0.11999999999999744,21.939999999999998,3.436666666666667,0.0,0.0,33.15
2026-01-01 07:00:00,esp32-field-01,NORMAL_BALANCED,33.8,2260,34.55,65.45,HEALTHY,24.54,67.2,4.1,8.36,4.12,83.4,1,Tomato (Vegetative),0.85,50.0,83.1,HEALTHY,0,0.0,7,1,0.9659258262890683,-0.25881904510252063,32.38,32.12,30.9,2.1699999999999946,2.4299999999999997,23.326666666666668,3.7133333333333334,4.1,0.0,33.14
2026-01-01 08:00:00,esp32-field-01,NORMAL_BALANCED,33.75,2249,34.69,65.31,HEALTHY,25.56,65.8,0.0,0.56,4.37,0.2,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0,8,1,0.8660254037844387,-0.4999999999999998,34.55,33.14,31.85,0.14000000000000057,1.5499999999999972,24.34,3.94,4.1,0.0,33.71
2026-01-01 09:00:00,esp32-field-01,NORMAL_BALANCED,33.67,2326,33.15,66.85,HEALTHY,27.5,63.6,0.0,2.21,4.53,2.5,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0,9,1,0.7071067811865476,-0.7071067811865475,34.69,32.38,32.5,-1.5399999999999991,0.769999999999996,25.866666666666664,4.34,4.1,0.0,31.2
2026-01-01 10:00:00,esp32-field-01,NORMAL_BALANCED,33.57,2268,33.14,66.86,HEALTHY,28.36,57.7,0.0,3.57,4.51,2.1,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0,10,1,0.49999999999999994,-0.8660254037844387,33.15,34.55,32.12,-0.00999999999999801,-1.4099999999999966,27.14,4.47,4.1,0.0,33.52
2026-01-01 11:00:00,esp32-field-01,NORMAL_BALANCED,33.45,2293,33.71,66.29,HEALTHY,29.68,53.1,0.0,3.35,5.02,0.6,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0,11,1,0.258819045102521,-0.9659258262890682,33.14,34.69,33.14,0.5700000000000003,-0.9799999999999969,28.513333333333332,4.6866666666666665,4.1,0.0,32.62
2026-01-01 12:00:00,esp32-field-01,NORMAL_BALANCED,33.32,2323,31.2,68.8,HEALTHY,31.32,50.3,0.0,2.56,4.98,1.7,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0,12,1,1.2246467991473532e-16,-1.0,33.71,33.15,32.38,-2.5100000000000016,-1.9499999999999993,29.786666666666665,4.836666666666666,4.1,0.0,32.26
2026-01-01 13:00:00,esp32-field-01,NORMAL_BALANCED,33.2,2279,33.52,66.48,HEALTHY,31.56,48.5,0.0,0.68,5.06,3.6,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0,13,1,-0.2588190451025208,-0.9659258262890683,31.2,33.14,34.55,2.320000000000004,0.38000000000000256,30.853333333333335,5.02,0.0,0.0,32.93
2026-01-01 14:00:00,esp32-field-01,NORMAL_BALANCED,33.08,2290,32.62,67.38,HEALTHY,30.83,50.2,0.0,3.58,5.6,1.0,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0,14,1,-0.4999999999999997,-0.8660254037844388,33.52,33.71,34.69,-0.9000000000000057,-1.0900000000000034,31.236666666666668,5.213333333333333,0.0,0.0,34.13
2026-01-01 15:00:00,esp32-field-01,NORMAL_BALANCED,32.98,2291,32.26,67.74,HEALTHY,32.6,52.4,0.0,1.51,5.46,3.0,0,Tomato (Vegetative),0.85,50.0,74.8,HEALTHY,0,0.0,15,1,-0.7071067811865471,-0.7071067811865479,32.62,31.2,33.15,-0.35999999999999943,1.0599999999999987,31.66333333333333,5.373333333333332,0.0,0.0,31.74
2026-01-01 16:00:00,esp32-field-01,NORMAL_BALANCED,32.92,2285,32.93,67.07,HEALTHY,31.25,49.5,0.0,1.7,4.91,2.7,0,Tomato (Vegetative),0.85,50.0,74.8,HEALTHY,0,0.0,16,1,-0.8660254037844385,-0.5000000000000004,32.26,33.52,33.14,0.6700000000000017,-0.5900000000000034,31.560000000000002,5.323333333333333,0.0,0.0,33.16
