timestamp,device_id,scenario,true_soil_moisture_pct,soil_adc,soil_moisture_pct,soil_dryness_pct,soil_status,temperature_c,humidity_pct,observed_rain_mm,forecast_rain_next_3h_mm,forecast_rain_24h_mm,et0_mm_day,surface_wetness_pct,is_raining,crop_profile,kc_factor,mad_threshold_pct,reservoir_level_pct,reservoir_status,pump_active,irrigation_litres,soil_storage_capacity_pct,hour,day_of_year,hour_sin,hour_cos,day_sin,day_cos,soil_moisture_lag_1h,soil_moisture_lag_2h,soil_moisture_lag_3h,soil_moisture_lag_6h,moisture_slope_1h,moisture_slope_3h,moisture_slope_6h,rolling_temperature_3h,rolling_et0_3h,rolling_et0_6h,rolling_rain_3h,rolling_rain_6h,irrigation_last_1h,irrigation_last_3h,irrigation_last_6h,physics_prediction_t_plus_3h,soil_moisture_t_plus_3h,soil_moisture_residual_t_plus_3h
2026-01-01 06:00:00,esp32-field-01,NORMAL_BALANCED,29.96,2339,29.86,70.14,HEALTHY,23.23,70.2,0.0,0.0,2.38,3.58,1.6,0,Tomato (Vegetative),0.85,50.0,80.0,HEALTHY,0,0.0,5.140000000000001,6,1,1.0,6.123233995736766e-17,0.017201575418260506,0.9998520419557735,28.48,29.36,29.25,29.64,1.379999999999999,0.20333333333333314,0.03666666666666648,22.05,3.486666666666667,3.4916666666666667,0.0,0.0,0.0,0.0,0.0,29.786,29.71,-0.07600000000000051
2026-01-01 07:00:00,esp32-field-01,NORMAL_BALANCED,29.93,2328,30.46,69.53999999999999,HEALTHY,24.89,66.7,0.0,0.01,2.98,4.16,1.7,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0,4.539999999999999,7,1,0.9659258262890683,-0.25881904510252063,0.017201575418260506,0.9998520419557735,29.86,28.48,29.36,30.85,0.6000000000000014,0.36666666666666714,-0.0650000000000001,23.293333333333337,3.78,3.57,0.0,0.0,0.0,0.0,0.0,30.309,31.18,0.8709999999999987
2026-01-01 08:00:00,esp32-field-01,NORMAL_BALANCED,29.88,2363,28.5,71.5,HEALTHY,25.7,67.8,0.0,0.0,0.03,4.15,1.4,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0,6.5,8,1,0.8660254037844387,-0.4999999999999998,0.017201575418260506,0.9998520419557735,30.46,29.86,28.48,29.57,-1.9600000000000009,0.006666666666666525,-0.17833333333333337,24.606666666666666,3.9633333333333334,3.715,0.0,0.0,0.0,0.0,0.0,28.285,29.62,1.3350000000000009
2026-01-01 09:00:00,esp32-field-01,NORMAL_BALANCED,29.8,2346,29.71,70.28999999999999,HEALTHY,26.77,62.1,0.0,0.0,0.25,4.38,9.9,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0,5.289999999999999,9,1,0.7071067811865476,-0.7071067811865475,0.017201575418260506,0.9998520419557735,28.5,30.46,29.86,29.25,1.2100000000000009,-0.049999999999999524,0.07666666666666681,25.786666666666665,4.23,3.858333333333334,0.0,0.0,0.0,0.0,0.0,29.432,28.13,-1.3019999999999996
2026-01-01 10:00:00,esp32-field-01,NORMAL_BALANCED,29.7,2324,31.18,68.82,HEALTHY,28.6,57.1,0.0,0.0,2.03,4.42,0.3,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0,3.8200000000000003,10,1,0.49999999999999994,-0.8660254037844387,0.017201575418260506,0.9998520419557735,29.71,28.5,30.46,29.36,1.4699999999999989,0.23999999999999963,0.3033333333333334,27.02333333333333,4.316666666666666,4.048333333333333,0.0,0.0,0.0,0.0,0.0,30.867,29.87,-0.9969999999999999
2026-01-01 11:00:00,esp32-field-01,NORMAL_BALANCED,29.59,2353,29.62,70.38,HEALTHY,29.63,58.3,0.0,5.58,14.98,4.92,0.6,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0,5.379999999999999,11,1,0.258819045102521,-0.9659258262890682,0.017201575418260506,0.9998520419557735,31.18,29.71,28.5,28.48,-1.5599999999999987,0.3733333333333337,0.19000000000000009,28.333333333333332,4.573333333333333,4.2683333333333335,0.0,0.0,0.0,0.0,0.0,30.445,29.38,-1.0650000000000013
2026-01-01 12:00:00,esp32-field-01,NORMAL_BALANCED,29.47,2383,28.13,71.87,HEALTHY,30.27,55.9,0.0,5.41,16.57,4.67,1.3,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0,6.870000000000001,12,1,1.2246467991473532e-16,-1.0,0.017201575418260506,0.9998520419557735,29.62,31.18,29.71,29.86,-1.490000000000002,-0.5266666666666673,-0.2883333333333334,29.5,4.670000000000001,4.45,0.0,0.0,0.0,0.0,0.0,28.949,30.46,1.5109999999999992
2026-01-01 13:00:00,esp32-field-01,NORMAL_BALANCED,29.35,2354,29.87,70.13,HEALTHY,30.47,53.3,0.0,6.1,16.51,4.79,5.3,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0,5.129999999999999,13,1,-0.2588190451025208,-0.9659258262890683,0.017201575418260506,0.9998520419557735,28.13,29.62,31.18,30.46,1.740000000000002,-0.43666666666666626,-0.09833333333333331,30.12333333333333,4.793333333333333,4.555,0.0,0.0,0.0,0.0,0.0,30.862,31.25,0.3880000000000017
2026-01-01 14:00:00,esp32-field-01,NORMAL_BALANCED,30.69,2354,29.38,70.62,HEALTHY,31.16,54.4,6.8,0.0,0.56,4.93,86.0,1,Tomato (Vegetative),0.85,50.0,90.1,HEALTHY,0,0.0,5.620000000000001,14,1,-0.4999999999999997,-0.8660254037844388,0.017201575418260506,0.9998520419557735,29.87,28.13,29.62,28.5,-0.490000000000002,-0.08000000000000067,0.1466666666666665,30.633333333333336,4.796666666666667,4.685,6.8,6.8,0.0,0.0,0.0,29.124,31.94,2.8160000000000025
2026-01-01 15:00:00,esp32-field-01,NORMAL_BALANCED,30.6,2337,30.46,69.53999999999999,HEALTHY,31.14,56.9,0.0,0.29,0.13,5.17,0.4,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0,4.539999999999999,15,1,-0.7071067811865471,-0.7071067811865479,0.017201575418260506,0.9998520419557735,29.38,29.87,28.13,29.71,1.0800000000000018,0.7766666666666673,0.125,30.923333333333336,4.963333333333333,4.816666666666666,6.8,6.8,0.0,0.0,0.0,30.332,29.96,-0.3719999999999999
