timestamp,device_id,scenario,true_soil_moisture_pct,soil_adc,soil_moisture_pct,soil_dryness_pct,soil_status,temperature_c,humidity_pct,rainfall_mm,forecast_rain_mm,et0_mm_day,surface_wetness_pct,is_raining,crop_profile,kc_factor,mad_threshold_pct,reservoir_level_pct,reservoir_status,pump_active,irrigation_litres
2026-01-01 00:00:00,esp32-field-01,NORMAL_BALANCED,32.99,2271,34.21,65.79,HEALTHY,21.15,77.6,0.0,0.09,3.58,0.5,0,Tomato (Vegetative),0.85,50.0,75.0,HEALTHY,0,0.0
2026-01-01 01:00:00,esp32-field-01,NORMAL_BALANCED,32.99,2336,30.9,69.1,HEALTHY,20.91,78.3,0.0,0.54,3.51,0.6,0,Tomato (Vegetative),0.85,50.0,75.0,HEALTHY,0,0.0
2026-01-01 02:00:00,esp32-field-01,NORMAL_BALANCED,32.98,2339,31.85,68.15,HEALTHY,19.29,80.8,0.0,0.33,2.89,4.6,0,Tomato (Vegetative),0.85,50.0,75.0,HEALTHY,0,0.0
2026-01-01 03:00:00,esp32-field-01,NORMAL_BALANCED,32.98,2308,32.5,67.5,HEALTHY,20.48,76.6,0.0,5.06,3.4,8.9,0,Tomato (Vegetative),0.85,50.0,75.0,HEALTHY,0,0.0
2026-01-01 04:00:00,esp32-field-01,NORMAL_BALANCED,32.97,2288,32.12,67.88,HEALTHY,20.38,82.6,0.0,0.45,3.29,7.2,0,Tomato (Vegetative),0.85,50.0,75.0,HEALTHY,0,0.0
2026-01-01 05:00:00,esp32-field-01,NORMAL_BALANCED,32.96,2297,33.14,66.86,HEALTHY,22.52,72.3,0.0,4.21,3.69,4.5,0,Tomato (Vegetative),0.85,50.0,75.0,HEALTHY,0,0.0
2026-01-01 06:00:00,esp32-field-01,NORMAL_BALANCED,32.96,2285,32.38,67.62,HEALTHY,22.92,71.7,0.0,0.49,3.33,1.3,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0
2026-01-01 07:00:00,esp32-field-01,NORMAL_BALANCED,33.8,2260,34.55,65.45,HEALTHY,24.54,67.2,4.1,8.36,4.12,83.4,1,Tomato (Vegetative),0.85,50.0,83.1,HEALTHY,0,0.0
2026-01-01 08:00:00,esp32-field-01,NORMAL_BALANCED,33.75,2249,34.69,65.31,HEALTHY,25.56,65.8,0.0,0.56,4.37,0.2,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0
2026-01-01 09:00:00,esp32-field-01,NORMAL_BALANCED,33.67,2326,33.15,66.85,HEALTHY,27.5,63.6,0.0,2.21,4.53,2.5,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0
2026-01-01 10:00:00,esp32-field-01,NORMAL_BALANCED,33.57,2268,33.14,66.86,HEALTHY,28.36,57.7,0.0,3.57,4.51,2.1,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0
2026-01-01 11:00:00,esp32-field-01,NORMAL_BALANCED,33.45,2293,33.71,66.29,HEALTHY,29.68,53.1,0.0,3.35,5.02,0.6,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0
2026-01-01 12:00:00,esp32-field-01,NORMAL_BALANCED,33.32,2323,31.2,68.8,HEALTHY,31.32,50.3,0.0,2.56,4.98,1.7,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0
2026-01-01 13:00:00,esp32-field-01,NORMAL_BALANCED,33.2,2279,33.52,66.48,HEALTHY,31.56,48.5,0.0,0.68,5.06,3.6,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0
2026-01-01 14:00:00,esp32-field-01,NORMAL_BALANCED,33.08,2290,32.62,67.38,HEALTHY,30.83,50.2,0.0,3.58,5.6,1.0,0,Tomato (Vegetative),0.85,50.0,74.9,HEALTHY,0,0.0
2026-01-01 15:00:00,esp32-field-01,NORMAL_BALANCED,32.98,2291,32.26,67.74,HEALTHY,32.6,52.4,0.0,1.51,5.46,3.0,0,Tomato (Vegetative),0.85,50.0,74.8,HEALTHY,0,0.0
2026-01-01 16:00:00,esp32-field-01,NORMAL_BALANCED,32.92,2285,32.93,67.07,HEALTHY,31.25,49.5,0.0,1.7,4.91,2.7,0,Tomato (Vegetative),0.85,50.0,74.8,HEALTHY,0,0.0
