timestamp,device_id,scenario,true_soil_moisture_pct,soil_adc,soil_moisture_pct,soil_dryness_pct,soil_status,temperature_c,humidity_pct,observed_rain_mm,forecast_rain_next_3h_mm,forecast_rain_24h_mm,et0_mm_day,surface_wetness_pct,is_raining,crop_profile,kc_factor,mad_threshold_pct,reservoir_level_pct,reservoir_status,pump_active,irrigation_litres
2026-01-01 00:00:00,esp32-field-01,NORMAL_BALANCED,29.99,2343,29.64,70.36,HEALTHY,21.92,73.5,0.0,0.0,0.22,3.64,0.1,0,Tomato (Vegetative),0.85,50.0,80.0,HEALTHY,0,0.0
2026-01-01 01:00:00,esp32-field-01,NORMAL_BALANCED,29.99,2335,30.85,69.15,HEALTHY,21.93,75.1,0.0,0.0,0.16,3.69,8.5,0,Tomato (Vegetative),0.85,50.0,80.0,HEALTHY,0,0.0
2026-01-01 02:00:00,esp32-field-01,NORMAL_BALANCED,29.98,2333,29.57,70.43,HEALTHY,20.77,75.8,0.0,0.0,0.9,3.28,4.2,0,Tomato (Vegetative),0.85,50.0,80.0,HEALTHY,0,0.0
2026-01-01 03:00:00,esp32-field-01,NORMAL_BALANCED,29.97,2354,29.25,70.75,HEALTHY,20.94,70.7,0.0,0.0,2.2,3.52,2.8,0,Tomato (Vegetative),0.85,50.0,80.0,HEALTHY,0,0.0
2026-01-01 04:00:00,esp32-field-01,NORMAL_BALANCED,29.97,2351,29.36,70.64,HEALTHY,21.16,74.1,0.0,0.0,0.38,3.28,1.4,0,Tomato (Vegetative),0.85,50.0,80.0,HEALTHY,0,0.0
2026-01-01 05:00:00,esp32-field-01,NORMAL_BALANCED,29.96,2378,28.48,71.52,HEALTHY,21.76,71.1,0.0,0.0,1.0,3.6,12.6,0,Tomato (Vegetative),0.85,50.0,80.0,HEALTHY,0,0.0
2026-01-01 06:00:00,esp32-field-01,NORMAL_BALANCED,29.96,2339,29.86,70.14,HEALTHY,23.23,70.2,0.0,0.0,2.38,3.58,1.6,0,Tomato (Vegetative),0.85,50.0,80.0,HEALTHY,0,0.0
2026-01-01 07:00:00,esp32-field-01,NORMAL_BALANCED,29.93,2328,30.46,69.54,HEALTHY,24.89,66.7,0.0,0.01,2.98,4.16,1.7,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 08:00:00,esp32-field-01,NORMAL_BALANCED,29.88,2363,28.5,71.5,HEALTHY,25.7,67.8,0.0,0.0,0.03,4.15,1.4,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 09:00:00,esp32-field-01,NORMAL_BALANCED,29.8,2346,29.71,70.29,HEALTHY,26.77,62.1,0.0,0.0,0.25,4.38,9.9,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 10:00:00,esp32-field-01,NORMAL_BALANCED,29.7,2324,31.18,68.82,HEALTHY,28.6,57.1,0.0,0.0,2.03,4.42,0.3,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 11:00:00,esp32-field-01,NORMAL_BALANCED,29.59,2353,29.62,70.38,HEALTHY,29.63,58.3,0.0,5.58,14.98,4.92,0.6,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 12:00:00,esp32-field-01,NORMAL_BALANCED,29.47,2383,28.13,71.87,HEALTHY,30.27,55.9,0.0,5.41,16.57,4.67,1.3,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 13:00:00,esp32-field-01,NORMAL_BALANCED,29.35,2354,29.87,70.13,HEALTHY,30.47,53.3,0.0,6.1,16.51,4.79,5.3,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 14:00:00,esp32-field-01,NORMAL_BALANCED,30.69,2354,29.38,70.62,HEALTHY,31.16,54.4,6.8,0.0,0.56,4.93,86.0,1,Tomato (Vegetative),0.85,50.0,90.1,HEALTHY,0,0.0
2026-01-01 15:00:00,esp32-field-01,NORMAL_BALANCED,30.6,2337,30.46,69.54,HEALTHY,31.14,56.9,0.0,0.29,0.13,5.17,0.4,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 16:00:00,esp32-field-01,NORMAL_BALANCED,30.54,2320,31.25,68.75,HEALTHY,30.23,55.4,0.0,0.0,0.3,4.66,1.6,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 17:00:00,esp32-field-01,NORMAL_BALANCED,30.51,2303,31.94,68.06,HEALTHY,30.09,56.3,0.0,0.0,1.04,4.68,0.1,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 18:00:00,esp32-field-01,NORMAL_BALANCED,30.51,2344,29.96,70.04,HEALTHY,28.92,60.4,0.0,0.0,0.31,4.52,3.3,0,Tomato (Vegetative),0.85,50.0,79.9,HEALTHY,0,0.0
2026-01-01 19:00:00,esp32-field-01,NORMAL_BALANCED,30.5,2346,30.37,69.63,HEALTHY,27.26,63.0,0.0,0.0,1.99,4.63,1.7,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
2026-01-01 20:00:00,esp32-field-01,NORMAL_BALANCED,30.49,2320,31.31,68.69,HEALTHY,27.69,63.6,0.0,0.07,0.94,4.41,3.5,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
2026-01-01 21:00:00,esp32-field-01,NORMAL_BALANCED,30.49,2319,30.95,69.05,HEALTHY,24.68,67.7,0.0,0.0,0.44,3.94,7.3,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
2026-01-01 22:00:00,esp32-field-01,NORMAL_BALANCED,30.48,2307,30.7,69.3,HEALTHY,23.95,70.0,0.0,0.0,0.81,3.79,0.7,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
2026-01-01 23:00:00,esp32-field-01,NORMAL_BALANCED,30.47,2317,31.56,68.44,HEALTHY,21.72,70.9,0.0,0.0,0.97,3.43,0.9,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
2026-01-02 00:00:00,esp32-field-01,NORMAL_BALANCED,30.47,2324,30.9,69.1,HEALTHY,21.92,75.4,0.0,3.8,6.41,3.58,2.7,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
2026-01-02 01:00:00,esp32-field-01,NORMAL_BALANCED,30.46,2327,30.61,69.39,HEALTHY,21.33,74.8,0.0,2.99,6.39,3.59,1.9,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
2026-01-02 02:00:00,esp32-field-01,NORMAL_BALANCED,30.46,2324,30.89,69.11,HEALTHY,20.85,76.0,0.0,2.89,6.86,3.33,0.9,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
2026-01-02 03:00:00,esp32-field-01,NORMAL_BALANCED,31.07,2340,31.26,68.74,HEALTHY,20.99,75.1,2.9,0.0,0.45,3.43,79.8,1,Tomato (Vegetative),0.85,50.0,84.1,HEALTHY,0,0.0
2026-01-02 04:00:00,esp32-field-01,NORMAL_BALANCED,31.06,2320,31.29,68.71,HEALTHY,20.96,73.0,0.0,0.0,0.45,3.33,2.1,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
2026-01-02 05:00:00,esp32-field-01,NORMAL_BALANCED,31.05,2323,30.26,69.74,HEALTHY,22.06,72.4,0.0,0.0,0.27,3.26,7.6,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
2026-01-02 06:00:00,esp32-field-01,NORMAL_BALANCED,31.05,2334,30.67,69.33,HEALTHY,23.63,69.9,0.0,0.0,1.92,3.53,5.9,0,Tomato (Vegetative),0.85,50.0,79.8,HEALTHY,0,0.0
